omega,xi_mass,xi_spring,xi_combined
1.2243718592964823,159.2303711743069,147.0458813104424,73.99455135638247
1.2339195979899498,155.30439742339962,143.4203275549226,72.17014647562445
1.243467336683417,151.46851066482074,139.87796723218722,70.38760513215033
1.2530150753768843,147.71997560312522,136.41627435472282,68.6456562307677
1.2625628140703518,144.05615997441092,133.0328180824674,66.94307655517022
1.272110552763819,140.4745299240425,129.7252584542363,65.27868861996009
1.2816582914572863,136.97264562450744,126.49134234090491,63.651358634260305
1.2912060301507537,133.54815711925303,123.32889960727981,62.059994570340585
1.300753768844221,130.19880037928274,120.23583947044911,60.50354433111281
1.3103015075376883,126.92239356015524,117.21014704320012,58.98099401075376
1.3198492462311557,123.71683344783072,114.24988005183347,57.49136624308553
1.329396984924623,120.58009208255349,111.35316571839019,56.03371863268953
1.3389447236180905,117.51021355065038,108.51819779794525,54.607142264051305
1.3484924623115577,114.505310934769,105.74323376221717,53.210760284332345
1.358040201005025,111.56356341367423,103.02659212129142,51.84372655564201
1.3675879396984925,108.68321350328097,100.36664987577228,50.50522437294199
1.3771356783919597,105.86256443111627,97.76184009215442,49.194465243955534
1.386683417085427,103.09997763688618,95.21064959464898,47.91068772767787
1.3962311557788945,100.39387039227302,92.71161676711688,46.65315632829295
1.4057788944723617,97.7427135335074,90.26332945914682,45.42116044149687
1.415326633165829,95.14502930064793,87.86442299067598,44.214013350408514
1.4248743718592964,92.59938927786942,85.51357824988949,43.031051268418835
1.4344221105527637,90.10441242939808,83.2095198794483,41.87163242648758
1.443969849246231,87.65876322605084,80.95101454638778,40.73513620254376
1.4535175879396984,85.26114985763408,78.73686929130577,39.62096229078509
1.4630653266331657,82.91032252673416,76.56592995271411,38.528529908800344
1.4726130653266332,80.60507181969008,74.43707966266645,37.457277040558374
1.4821608040201004,78.34422715078661,72.3492374100035,36.40665971342264
1.4917085427135677,76.12665527592783,70.30135666776181,35.37615130745352
1.5012562814070352,73.95125887226924,68.29242408149423,34.36524189536154
1.5108040201005024,71.81697518048396,66.32145821543143,33.37343761156686
1.5203517587939697,69.72277470652539,64.38750835358702,32.40026004890668
1.5298994974874371,67.66765997992634,62.48965335307323,31.44524568161537
1.5394472361809044,65.65066436583804,60.62700054704392,30.50794531327749
1.5489949748743717,63.67085092816624,58.79868469482487,29.587923548525733
1.5585427135678391,61.72731134130961,57.00386697692723,28.684758287324424
1.5680904522613064,59.819164848139025,55.24173403276328,27.79804024074114
1.5776381909547739,57.94555726198589,53.51149703900393,26.927372467169526
1.5871859296482411,56.105660010529,51.81239082662832,26.07236992802226
1.5967336683417084,54.298669219580205,50.14367303481931,25.232659061965162
1.6062814070351759,52.52380483487849,48.50462329995886,24.407877376813776
1.6158291457286431,50.780309780100865,46.89454247806888,23.597673058260018
1.6253768844221104,49.06744914939228,45.31275189912972,22.801704594639787
1.6349246231155778,47.38450943280797,43.758592651792505,22.019640416995095
1.644472361809045,45.73079777314317,42.23142489707712,21.25115855372189
1.6540201005025124,44.10564125270467,40.73062720972077,20.495946299131916
1.6635678391959798,42.50838620865433,39.25559594591229,19.753699895292
1.673115577889447,40.93839757562331,37.80574463621017,19.02412422653607
1.6826633165829143,39.39505825436257,36.38050340250473,18.30693252607623
1.6922110552763818,37.87776850525805,34.97931839794213,17.60184609416855
1.701758793969849,36.38594536559771,33.60165126878291,16.908594027316322
1.7113065326633166,34.919022089532795,32.24697863721793,16.226912958019327
1.7208542713567838,33.47644760972942,30.914791604215093,15.55654680460273
1.730402010050251,32.05768601975527,29.60459527151436,14.897246530681468
1.7399497487437185,30.662216076293817,28.315908281933105,14.248769913838611
1.7494974874371858,29.289530720322947,27.048262377184727,13.61088132311648
1.759045226130653,27.93913661643633,25.80120197245163,12.983351504938692
1.7685929648241205,26.61055370952661,24.574283746991558,12.36595737710031
1.7781407035175878,25.30331479808639,23.367076250090065,11.758481830480264
1.787688442211055,24.01696512341868,22.17915952170505,11.160713538146945
1.7972361809045225,22.75106197408297,21.010124727181054,10.572446771543802
1.8067839195979898,21.50517430493419,19.859573805439844,9.993481223456277
1.816331658291457,20.278882370142497,18.727119130081853,9.423621837475629
1.8258793969849245,19.071777369610725,17.61238318286026,8.862678643688696
1.8354271356783918,17.88346110823352,16.514998239013963,8.310466600335195
1.8449748743718593,16.713545667467354,15.434606063969449,7.766805441185896
1.8545226130653265,15.561653088706478,14.370857620945145,7.231519528407025
1.8640703517587938,14.427415067981498,13.323412789012046,6.704437710686321
1.8736180904522612,13.310472661520802,12.291940091185907,6.185393186407064
1.8831658291457285,12.210476001735065,11.276116432144939,5.674223371665727
1.8927135678391958,11.127084023205148,10.275626845185405,5.1707697729382005
1.9022613065326632,10.059964198273077,9.290164248045514,4.6748778642085975
1.9118090452261305,9.00879228185319,8.319429207243886,4.186396968382684
1.9213567839195977,7.973252065097647,7.363129710594872,3.70518014281592
1.9309045226130652,6.953035137567429,6.42098094757849,3.2310840687940416
1.9404522613065325,5.947840657574329,5.492705097256114,2.7639689448106886
1.95,4.9573751303748965,4.578031123437271,2.3036983834938622
