NodeIndex,MeanLogU_0.1,MeanLogU_0.3,MeanLogU_0.5,MeanLogU_0.7,MeanLogU_0.9
124,-0.19054409571544273,-0.6731507615729414,-1.922203328379229,-3.670947516674507,-6.240450632409254
125,-0.26284476726546735,-0.5695470233938931,-1.7670870773773797,-3.7035947987944886,-6.250231206145452
126,-0.09282063626238163,-0.5327454029876932,-1.7636144993222709,-3.6799107212941076,-6.239936556048876
127,-0.30775296627455784,-0.5819157193315005,-1.9006386906454058,-3.795219926720326,-6.196542030101345
128,-0.14164747161065427,-0.6594930556613119,-2.106225954188083,-3.8786945505639094,-6.3949552969897265
129,-0.07553435506723011,-0.9097680631406333,-1.9830382486369034,-4.003063766239368,-6.449556848072503
130,-0.11954196090075694,-0.5782506388797288,-1.9559483117202634,-3.980347085213449,-6.359395176164438
131,-0.15707024602505892,-0.652672846700108,-1.9562421858971766,-3.90369595123863,-6.666934756745054
132,-0.3215433801434372,-0.6502106616268841,-1.9824446022376367,-3.9767858489297083,-6.500080513998467
133,-0.1376288010631944,-0.7263398906601474,-1.9828770051387226,-3.809354244947872,-6.549373437104517
134,-0.02812278101731626,-0.8850845077041211,-2.08163190845005,-4.1057691839488495,-6.634316913715646
135,-0.15956614469434482,-0.6891027002884289,-2.028740677777227,-4.265532506074134,-6.811761725215443
136,-0.17746469561572453,-0.5664098957125919,-1.9619321789788884,-4.21067246598722,-6.737999783929477
137,-0.09656021943166404,-0.6133667712130298,-2.120659712154243,-4.1764313663117765,-6.791019367917428
138,-0.06765722276717195,-0.7474505152949048,-2.0092935239154373,-4.237969755412657,-6.725968998563106
139,-0.0501177663043085,-0.6899789826046786,-2.0292715880548147,-4.2191582947907165,-6.966943957607515
140,-0.2270869818354708,-0.7373555496685956,-2.0002388492198913,-4.17794597669207,-6.933172205046686
141,-0.18958551384771352,-0.9063978286307288,-2.1446551703169936,-4.258628492222964,-7.160841842521303
142,-0.11172576075648306,-0.6931760557152106,-2.3179916241496388,-4.3046445391067705,-7.07450452525216
143,-0.04304572688685282,-0.5666536592051685,-2.0985280027537243,-4.268766123958511,-7.15292045979097
